,precinct,jbe,trump results, black  , white , other ,turnout, dem , rep , other2 , total party , grace ,percentg, opp , opp/ % ,PROJECT TURNOUT,TRUMPH TURN OUT,EDWARDS TURN OUT
ROBO DIAL,137C,30%,0.88,72,"1,606",50,1103,,,,,320,0.29,783,71%,63.90%,68.10%,59.60%
ROBO DIAL,149,31%,0.87,31,"1,648",50,1089,,,,,338,0.31,752,69%,63.00%,77.80%,59.70%
ROBO DIAL,151,27%,0.87,43,"1,583",57,1076,,,,,291,0.27,786,73%,64.00%,79.10%,48.80%
ROBO DIAL,145,34%,0.83,191,"1,572",81,1019,,,,,346,0.34,672,66%,55.30%,65.20%,45.30%
ROBO DIAL,70,42%,0.72,286,"1,283",49,971,,,,,408,0.42,563,58%,60.00%,67.80%,52.80%
ROBO DIAL,072A,53%,0.69,335,"1,084",55,839,,,,,395,0.47,445,53%,57.00%,68.60%,45.30%
ROBO DIAL,137,31%,0.88,36,"1,353",47,816,,,,,253,0.31,563,69%,56.90%,69.00%,44.70%
ROBO DIAL,143,64%,0.65,399,753,43,733,,,,,440,0.6,293,40%,61.30%,74.10%,48.50%
ROBO DIAL,74,43%,0.68,326,825,45,709,,,,,305,0.43,404,57%,59.30%,68.60%,49.90%
ROBO DIAL,71,56%,0.56,396,730,36,702,,,,,393,0.56,309,44%,60.50%,66.40%,54.50%
GRACE,137A,26%,0.83,59,"1,001",40,693,,,,,173,0.25,520,75%,63.00%,83.20%,54.40%
GRACE,46,98%,0.02,"1,276",94,32,652,,,,,600,0.92,52,8%,46.50%,52.50%,40.50%
GRACE,147,27%,0.86,75,965,37,642,,,,,161,0.25,482,75%,59.70%,75.50%,43.80%
GRACE,73,41%,0.74,144,853,32,637,,,,,261,0.41,376,59%,62.00%,74.40%,49.50%
GRACE,72,70%,0.47,542,522,45,618,,,,,432,0.7,185,30%,55.70%,63.70%,47.70%
GRACE,137B,57%,0.53,398,671,46,608,,,,,316,0.52,292,48%,54.60%,64.70%,44.40%
GRACE,137D,24%,0.90,17,870,35,595,,,,,131,0.22,464,78%,64.50%,68.00%,61.00%
GRACE,141A,49%,0.68,166,762,30,591,,,,,278,0.47,313,53%,61.70%,74.50%,48.90%
GRACE,45,65%,0.59,290,673,70,583,,,,,379,0.65,204,35%,56.50%,64.60%,48.30%
GRACE,133,51%,0.64,286,724,42,576,,,,,282,0.49,294,51%,54.80%,62.40%,47.20%
GRACE,143A,50%,0.50,262,886,45,569,,,,,285,0.5,285,50%,47.70%,47.70%,47.70%
GRACE,44,41%,0.77,137,739,39,542,,,,,222,0.41,320,59%,59.30%,67.10%,51.40%
GRACE,47,91%,0.16,823,210,39,530,,,,,482,0.91,48,9%,49.50%,57.10%,41.80%
GRACE,045A,87%,0.26,806,344,47,505,,,,,439,0.87,66,13%,42.20%,49.90%,34.40%
GRACE,040A,58%,0.58,156,703,53,503,,,,,292,0.58,211,42%,55.20%,64.70%,45.60%
PHONE BANK,41,61%,0.66,42,715,34,498,,,,,299,0.6,199,40%,63.00%,70.60%,55.40%
PHONE BANK,141,58%,0.60,328,609,47,488,,,,,293,0.6,195,40%,49.60%,55.70%,43.50%
PHONE BANK,133A,55%,0.68,179,669,44,462,,,,,245,0.53,217,47%,51.80%,61.40%,42.10%
PHONE BANK,49,75%,0.59,356,417,30,436,,,,,327,0.75,109,25%,54.30%,61.60%,47.00%
PHONE BANK,139,45%,0.63,162,539,45,412,,,,,198,0.48,214,52%,55.20%,62.70%,47.70%
PHONE BANK,070A,51%,0.59,211,466,30,407,,,,,200,0.49,208,51%,57.60%,67.80%,47.40%
PHONE BANK,42,80%,0.32,413,310,29,336,,,,,269,0.8,67,20%,44.70%,53.40%,36.00%
PHONE BANK,129A,79%,0.33,527,9,7,300,,,,,237,0.79,63,21%,55.20%,64.30%,46.10%
PHONE BANK,042A,68%,0.53,205,355,39,289,,,,,173,0.6,115,40%,48.20%,54.50%,41.90%
PHONE BANK,43,95%,0.14,369,132,29,253,,,,,233,0.92,20,8%,47.80%,54.10%,41.50%
PHONE BANK,149A,33%,0.90,26,356,15,241,,,,,75,0.31,166,69%,60.60%,73.80%,47.40%
PHONE BANK,40,63%,0.62,102,320,27,220,,,,,132,0.6,88,40%,49.10%,60.80%,37.40%
PHONE BANK,48,82%,0.28,187,219,27,210,,,,,172,0.82,38,18%,48.50%,55.80%,41.10%
PHONE BANK,129,90%,0.15,357,18,5,171,,,,,154,0.9,17,10%,45.10%,53.50%,36.70%
PHONE BANK,120B,48%,0.70, -   ,58,3,33,,,,,16,0.47,18,53%,54.70%,60.80%,48.50%
PHONE BANK,120A,79%,0.88, -   ,7, -   ,4,,,,,3,0.71,1,29%,61.30%,73.10%,49.50%
